synset,pictogram_id,primary_keyword,image_url
02961779-n,2339,car,https://api.arasaac.org/api/pictograms/2339
04531608-n,2339,car,https://api.arasaac.org/api/pictograms/2339
04305309-n,2379,stairs,https://api.arasaac.org/api/pictograms/2379
07715748-n,2383,spaghetti,https://api.arasaac.org/api/pictograms/2383
07715659-n,2383,spaghetti,https://api.arasaac.org/api/pictograms/2383
01694952-v,2380,write,https://api.arasaac.org/api/pictograms/2380
00995046-v,2380,write,https://api.arasaac.org/api/pictograms/2380
06371284-n,2380,write,https://api.arasaac.org/api/pictograms/2380
03070853-n,2382,colander,https://api.arasaac.org/api/pictograms/2382
03778568-n,2385,mirror,https://api.arasaac.org/api/pictograms/2385
07734958-n,2384,asparagus,https://api.arasaac.org/api/pictograms/2384
12461688-n,2384,asparagus,https://api.arasaac.org/api/pictograms/2384
02175483-v,2381,hear,https://api.arasaac.org/api/pictograms/2381
02174146-v,2381,hear,https://api.arasaac.org/api/pictograms/2381
04197095-n,2386,shelves,https://api.arasaac.org/api/pictograms/2386
00608509-v,2387,study,https://api.arasaac.org/api/pictograms/2387
00601387-v,2387,study,https://api.arasaac.org/api/pictograms/2387
04337405-n,2389,stove,https://api.arasaac.org/api/pictograms/2389
03277150-n,2389,stove,https://api.arasaac.org/api/pictograms/2389
04002774-n,2390,excavator,https://api.arasaac.org/api/pictograms/2390
04238334-n,2391,skirt,https://api.arasaac.org/api/pictograms/2391
04237870-n,2391,skirt,https://api.arasaac.org/api/pictograms/2391
03433913-n,2391,skirt,https://api.arasaac.org/api/pictograms/2391
07986853-n,2392,family,https://api.arasaac.org/api/pictograms/2392
04343024-n,2393,light post,https://api.arasaac.org/api/pictograms/2393
10386665-n,2375,nurse,https://api.arasaac.org/api/pictograms/2375
10387518-n,2375,nurse,https://api.arasaac.org/api/pictograms/2375
10447528-n,2395,physiotherapist,https://api.arasaac.org/api/pictograms/2395
00114629-a,2374,angry,https://api.arasaac.org/api/pictograms/2374
00115265-s,2374,angry,https://api.arasaac.org/api/pictograms/2374
01811355-s,2374,angry,https://api.arasaac.org/api/pictograms/2374
03183448-n,2394,figure,https://api.arasaac.org/api/pictograms/2394
03340545-n,2394,figure,https://api.arasaac.org/api/pictograms/2394
03341404-n,2394,figure,https://api.arasaac.org/api/pictograms/2394
06266354-n,2398,paper,https://api.arasaac.org/api/pictograms/2398
14998823-n,2398,paper,https://api.arasaac.org/api/pictograms/2398
02078848-n,2397,seal,https://api.arasaac.org/api/pictograms/2397
00087206-v,2376,get sick,https://api.arasaac.org/api/pictograms/2376
02199637-v,2376,get sick,https://api.arasaac.org/api/pictograms/2376
03626098-n,2399,kitchen sink,https://api.arasaac.org/api/pictograms/2399
07761916-n,2400,strawberry,https://api.arasaac.org/api/pictograms/2400
07650764-n,2402,biscuits,https://api.arasaac.org/api/pictograms/2402
03348200-n,2396,flute,https://api.arasaac.org/api/pictograms/2396
01257098-s,2401,sensitive to the cold,https://api.arasaac.org/api/pictograms/2401
12536430-n,2405,chickpeas,https://api.arasaac.org/api/pictograms/2405
07742071-n,2405,chickpeas,https://api.arasaac.org/api/pictograms/2405
07604518-n,2405,chickpeas,https://api.arasaac.org/api/pictograms/2405
02785116-n,2407,balloon,https://api.arasaac.org/api/pictograms/2407
03547103-n,2407,balloon,https://api.arasaac.org/api/pictograms/2407
02785352-n,2408,balloon,https://api.arasaac.org/api/pictograms/2408
04123606-n,2409,rubber,https://api.arasaac.org/api/pictograms/2409
02124272-n,2406,cat,https://api.arasaac.org/api/pictograms/2406
02124950-n,2406,cat,https://api.arasaac.org/api/pictograms/2406
02483486-n,2410,gorilla,https://api.arasaac.org/api/pictograms/2410
01795281-n,2403,hen,https://api.arasaac.org/api/pictograms/2403
04235755-n,2412,cap,https://api.arasaac.org/api/pictograms/2412
02958501-n,2412,cap,https://api.arasaac.org/api/pictograms/2412
04310635-n,2413,stapler,https://api.arasaac.org/api/pictograms/2413
03446036-n,2415,gloves,https://api.arasaac.org/api/pictograms/2415
01781131-v,2418,like,https://api.arasaac.org/api/pictograms/2418
01794266-n,2404,chicken,https://api.arasaac.org/api/pictograms/2404
01794799-n,2404,chicken,https://api.arasaac.org/api/pictograms/2404
02957776-n,2411,cap,https://api.arasaac.org/api/pictograms/2411
03472449-n,2417,guitar,https://api.arasaac.org/api/pictograms/2417
02679420-n,2417,guitar,https://api.arasaac.org/api/pictograms/2417
07630339-n,2420,ice cream cone,https://api.arasaac.org/api/pictograms/2420
02401173-n,2424,hippopotamus,https://api.arasaac.org/api/pictograms/2424
02222138-n,2425,ant,https://api.arasaac.org/api/pictograms/2425
03517291-n,2421,helicopter,https://api.arasaac.org/api/pictograms/2421
09895920-n,2423,brother,https://api.arasaac.org/api/pictograms/2423
07712845-n,2419,hamburger,https://api.arasaac.org/api/pictograms/2419
07856780-n,2427,egg,https://api.arasaac.org/api/pictograms/2427
01463098-n,2427,egg,https://api.arasaac.org/api/pictograms/2427
07859612-n,2428,fried egg,https://api.arasaac.org/api/pictograms/2428
04566737-n,2414,tap,https://api.arasaac.org/api/pictograms/2414
13521226-n,2429,infusion,https://api.arasaac.org/api/pictograms/2429
14872955-n,2429,infusion,https://api.arasaac.org/api/pictograms/2429
04453655-n,2430,toilet,https://api.arasaac.org/api/pictograms/2430
03422255-n,2434,garden,https://api.arasaac.org/api/pictograms/2434
03422659-n,2434,garden,https://api.arasaac.org/api/pictograms/2434
10622393-n,2422,sister,https://api.arasaac.org/api/pictograms/2422
03956504-n,2435,jug,https://api.arasaac.org/api/pictograms/2435
03608935-n,2435,jug,https://api.arasaac.org/api/pictograms/2435
02441664-n,2437,giraffe,https://api.arasaac.org/api/pictograms/2437
04377135-n,2436,jersey,https://api.arasaac.org/api/pictograms/2436
07685636-n,2433,ham,https://api.arasaac.org/api/pictograms/2433
07743844-n,2438,green beans,https://api.arasaac.org/api/pictograms/2438
12599160-n,2438,green beans,https://api.arasaac.org/api/pictograms/2438
07741018-n,2438,green beans,https://api.arasaac.org/api/pictograms/2438
04379457-n,2431,switch,https://api.arasaac.org/api/pictograms/2431
03914323-n,2440,pencil,https://api.arasaac.org/api/pictograms/2440
14820918-n,2440,pencil,https://api.arasaac.org/api/pictograms/2440
04561970-n,2442,washing machine,https://api.arasaac.org/api/pictograms/2442
00036925-v,2443,lather the hands,https://api.arasaac.org/api/pictograms/2443
01539713-v,2443,lather the hands,https://api.arasaac.org/api/pictograms/2443
03212662-n,2444,dishwasher,https://api.arasaac.org/api/pictograms/2444
01839438-v,2432,go,https://api.arasaac.org/api/pictograms/2432
02423786-v,2439,play,https://api.arasaac.org/api/pictograms/2439
02423521-v,2439,play,https://api.arasaac.org/api/pictograms/2439
12006775-n,2446,lettuce,https://api.arasaac.org/api/pictograms/2446
07739304-n,2446,lettuce,https://api.arasaac.org/api/pictograms/2446
02131817-n,2449,lion,https://api.arasaac.org/api/pictograms/2449
00626756-v,2447,reading,https://api.arasaac.org/api/pictograms/2447
05816802-n,2447,reading,https://api.arasaac.org/api/pictograms/2447
07860018-n,2445,milk,https://api.arasaac.org/api/pictograms/2445
07861311-n,2445,milk,https://api.arasaac.org/api/pictograms/2445
07861142-n,2445,milk,https://api.arasaac.org/api/pictograms/2445
07862778-n,2445,milk,https://api.arasaac.org/api/pictograms/2445
06422547-n,2450,book,https://api.arasaac.org/api/pictograms/2450
04561206-n,2441,washbasin,https://api.arasaac.org/api/pictograms/2441
04560989-n,2441,washbasin,https://api.arasaac.org/api/pictograms/2441
03618503-n,2451,keys,https://api.arasaac.org/api/pictograms/2451
03620246-n,2451,keys,https://api.arasaac.org/api/pictograms/2451
10653862-n,2454,speech therapist,https://api.arasaac.org/api/pictograms/2454
07716709-n,2455,macaroni,https://api.arasaac.org/api/pictograms/2455
10713754-n,2457,teacher,https://api.arasaac.org/api/pictograms/2457
10500315-n,2457,teacher,https://api.arasaac.org/api/pictograms/2457
10579780-n,2457,teacher,https://api.arasaac.org/api/pictograms/2457
07741231-n,2448,lentils,https://api.arasaac.org/api/pictograms/2448
04387230-n,2460,tablecloth,https://api.arasaac.org/api/pictograms/2460
02852392-n,2459,blanket,https://api.arasaac.org/api/pictograms/2459
10713754-n,2456,teacher,https://api.arasaac.org/api/pictograms/2456
10500315-n,2456,teacher,https://api.arasaac.org/api/pictograms/2456
10579780-n,2456,teacher,https://api.arasaac.org/api/pictograms/2456
10297825-n,2458,mum,https://api.arasaac.org/api/pictograms/2458
10352098-n,2458,mum,https://api.arasaac.org/api/pictograms/2458
07864314-n,2461,butter,https://api.arasaac.org/api/pictograms/2461
07755101-n,2462,apple,https://api.arasaac.org/api/pictograms/2462
02554818-s,2464,dizzy,https://api.arasaac.org/api/pictograms/2464
03726382-n,2463,maracas,https://api.arasaac.org/api/pictograms/2463
10040615-n,2467,doctor,https://api.arasaac.org/api/pictograms/2467
02276911-n,2465,butterfly,https://api.arasaac.org/api/pictograms/2465
07658542-n,2470,jam,https://api.arasaac.org/api/pictograms/2470
07658809-n,2470,jam,https://api.arasaac.org/api/pictograms/2470
12184341-n,2469,melon,https://api.arasaac.org/api/pictograms/2469
04442066-n,2466,tights,https://api.arasaac.org/api/pictograms/2466
03660398-n,2466,tights,https://api.arasaac.org/api/pictograms/2466
03762667-n,2472,metro,https://api.arasaac.org/api/pictograms/2472
03766619-n,2473,microwave,https://api.arasaac.org/api/pictograms/2473
04388674-n,2471,ping pong table,https://api.arasaac.org/api/pictograms/2471
07766980-n,2468,peach,https://api.arasaac.org/api/pictograms/2468
09915013-n,2476,caregiver,https://api.arasaac.org/api/pictograms/2476
09835195-n,2476,caregiver,https://api.arasaac.org/api/pictograms/2476
02192818-n,2478,fly,https://api.arasaac.org/api/pictograms/2478
02772753-n,2475,rucksack,https://api.arasaac.org/api/pictograms/2475
03796045-n,2480,motorbike,https://api.arasaac.org/api/pictograms/2480
03775257-n,2480,motorbike,https://api.arasaac.org/api/pictograms/2480
02133754-v,2474,see,https://api.arasaac.org/api/pictograms/2474
02134989-v,2474,see,https://api.arasaac.org/api/pictograms/2474
02134765-v,2474,see,https://api.arasaac.org/api/pictograms/2474
02173796-v,2474,see,https://api.arasaac.org/api/pictograms/2474
03223838-n,2482,doll,https://api.arasaac.org/api/pictograms/2482
02202850-n,2479,mosquito,https://api.arasaac.org/api/pictograms/2479
02486953-n,2477,monkey,https://api.arasaac.org/api/pictograms/2477
07763583-n,2483,orange,https://api.arasaac.org/api/pictograms/2483
10104064-n,2484,girl,https://api.arasaac.org/api/pictograms/2484
02134305-n,2488,bear,https://api.arasaac.org/api/pictograms/2488
02414351-n,2489,sheep,https://api.arasaac.org/api/pictograms/2489
02415086-n,2489,sheep,https://api.arasaac.org/api/pictograms/2489
03086983-n,2487,computer,https://api.arasaac.org/api/pictograms/2487
03924602-n,2487,computer,https://api.arasaac.org/api/pictograms/2487
01505702-n,2490,bird,https://api.arasaac.org/api/pictograms/2490
10305010-n,2485,boy,https://api.arasaac.org/api/pictograms/2485
03868196-n,2426,oven,https://api.arasaac.org/api/pictograms/2426
03879526-n,2492,paddle,https://api.arasaac.org/api/pictograms/2492
01814550-n,2493,pigeon,https://api.arasaac.org/api/pictograms/2493
03212556-n,2496,kitchen cloth,https://api.arasaac.org/api/pictograms/2496
02129213-v,2486,smell,https://api.arasaac.org/api/pictograms/2486
02129497-v,2486,smell,https://api.arasaac.org/api/pictograms/2486
03683884-n,2498,litter basket,https://api.arasaac.org/api/pictograms/2498
04514450-n,2500,umbrella,https://api.arasaac.org/api/pictograms/2500
04394487-n,2495,tambourine,https://api.arasaac.org/api/pictograms/2495
08534954-n,2499,stop,https://api.arasaac.org/api/pictograms/2499
08674524-n,2499,stop,https://api.arasaac.org/api/pictograms/2499
07644479-n,2502,cake,https://api.arasaac.org/api/pictograms/2502
07645903-n,2502,cake,https://api.arasaac.org/api/pictograms/2502
04233049-n,2507,skateboard,https://api.arasaac.org/api/pictograms/2507
10007601-n,2497,father,https://api.arasaac.org/api/pictograms/2497
10100638-n,2497,father,https://api.arasaac.org/api/pictograms/2497
07695101-n,2494,bread,https://api.arasaac.org/api/pictograms/2494
