_id,keywords_en,keyword_hash,image_url,categories,tags
6508,greengrocery|fruit shop|fruit store,6466f9de,https://static.arasaac.org/pictograms/6508/6508_500.png,commercial building|fruit,place|building|trade|feeding|food|plant-based food|fruit
6509,greengrocer|fruit seller|fruiterer,6783c952,https://static.arasaac.org/pictograms/6509/6509_500.png,seller|fruit,work|professional|seller|feeding|food|plant-based food|fruit
6510,soda|tonic|sparkling water|soda water,cf88d6d6,https://static.arasaac.org/pictograms/6510/6510_500.png,beverage,feeding|food|beverage
6511,crawl,78a0cc21,https://static.arasaac.org/pictograms/6511/6511_500.png,verb|childcare,communication|language|verb|babycare
6512,crawl,78a0cc21,https://static.arasaac.org/pictograms/6512/6512_500.png,verb|childcare,communication|language|verb|babycare
6513,hit|tennis player|racket,d754bb73,https://static.arasaac.org/pictograms/6513/6513_500.png,verb|sport material,communication|language|verb|leisure|sport|sport material
6514,hit|tennis player|racket,d754bb73,https://static.arasaac.org/pictograms/6514/6514_500.png,verb|sport material,communication|language|verb|leisure|sport|sport material
6515,farmer,97f97488,https://static.arasaac.org/pictograms/6515/6515_500.png,professional|cattle farming,work|professional|primary sector|cattle farming
6517,speak|talk|converse|chat|gab,e3b4cfc0,https://static.arasaac.org/pictograms/6517/6517_500.png,usual verbs|human response|core vocabulary-communication|core vocabulary-knowledge,communication|language|verb|usual verbs|psychology|human response|core vocabulary
6518,speak on the phone|talk on the telephone|talk on the phone|speak on the telephone,b31a1b81,https://static.arasaac.org/pictograms/6518/6518_500.png,verb|mass media device|mass media,communication|language|verb|object|appliance|mass media device|mass media
6519,axe,c89ee4a2,https://static.arasaac.org/pictograms/6519/6519_500.png,work tool|forestry,work|tool|primary sector|forestry
6520,ice cream shop,c0ca508f,https://static.arasaac.org/pictograms/6520/6520_500.png,commercial building|dessert,place|building|trade|feeding|food|ultra-processed food|dessert
6521,horseshoe,5cdb501c,https://static.arasaac.org/pictograms/6521/6521_500.png,horse riding|equine-assisted therapy,leisure|sport|horse riding|animal|animal-assisted therapy|equine-assisted therapy
6522,hello|hi,4d41e777,https://static.arasaac.org/pictograms/6522/6522_500.png,polite set expression|core vocabulary-communication,communication|language|expression|polite set expression|core vocabulary
6523,hospital|clinic,983a36cf,https://static.arasaac.org/pictograms/6523/6523_500.png,medical center|medical centre|core vocabulary-knowledge,health|medicine|medical center|place|building|core vocabulary
6524,skiing glasses,e12fb7d7,https://static.arasaac.org/pictograms/6524/6524_500.png,sport material,leisure|sport|sport material
6525,biscuits|chocolate biscuits,5733f40c,https://static.arasaac.org/pictograms/6525/6525_500.png,baking,feeding|food|ultra-processed food|dessert|baking
6526,footprint,869d06a7,https://static.arasaac.org/pictograms/6526/6526_500.png,human anatomy,human body|anatomy|human anatomy
6527,handprint,3bed5400,https://static.arasaac.org/pictograms/6527/6527_500.png,human anatomy|senses,human body|anatomy|human anatomy|physiology|human physiology|senses
6528,bone,a57fc812,https://static.arasaac.org/pictograms/6528/6528_500.png,animal anatomy,animal|anatomy|animal anatomy
6529,smoke,fdfa02ec,https://static.arasaac.org/pictograms/6529/6529_500.png,pollution,environmental science|pollution
6530,church|temple,cce6dbde,https://static.arasaac.org/pictograms/6530/6530_500.png,religious building|religious place|christianity|signaling system,place|building|religion|christianity|communication|signaling system
6531,have an idea|invent|discover|find,d06d2c40,https://static.arasaac.org/pictograms/6531/6531_500.png,verb|human response,communication|language|verb|psychology|human response
6532,go hiking|go on a trip|hike|excursion|trip|take trip|ramble|hike,98551175,https://static.arasaac.org/pictograms/6532/6532_500.png,verb|healthy habit|mountain|core vocabulary-communication|core vocabulary-knowledge|core vocabulary-leisure,communication|language|verb|health|lifestyle|healthy habit|leisure|outdoor activity|mountain|core vocabulary
6533,gardener,3c3ec367,https://static.arasaac.org/pictograms/6533/6533_500.png,professional|gardening,work|professional|primary sector|gardening
6534,jewelry store|jeweller's shop|jeweler's,e8254361,https://static.arasaac.org/pictograms/6534/6534_500.png,commercial building|jewelry|signaling system,place|building|trade|object|fashion|jewelry|communication|signaling system
6535,jeweller|jeweler,bdec87b6,https://static.arasaac.org/pictograms/6535/6535_500.png,seller|jewelry,work|professional|seller|object|fashion|jewelry
6536,Thursday,78ae6f0c,https://static.arasaac.org/pictograms/6536/6536_500.png,day,time|calendar|day
6537,play,a3b34c08,https://static.arasaac.org/pictograms/6537/6537_500.png,verb|traditional game|usual verbs|core vocabulary-communication,communication|language|verb|leisure|sport|traditional game|usual verbs|core vocabulary
6538,July,1b539f6f,https://static.arasaac.org/pictograms/6538/6538_500.png,month|core vocabulary-time,time|calendar|month|core vocabulary
6539,June,688937cc,https://static.arasaac.org/pictograms/6539/6539_500.png,month|core vocabulary-time,time|calendar|month|core vocabulary
6540,ketchup,a2c93026,https://static.arasaac.org/pictograms/6540/6540_500.png,condiment,feeding|food|ultra-processed food|condiment
6541,newsstand|newspaper kiosk,cae452ca,https://static.arasaac.org/pictograms/6541/6541_500.png,commercial building|publication|mass media|signaling system|trade,place|building|trade|object|publication|communication|mass media|signaling system|work|tertiary sector
6542,throw,959b7175,https://static.arasaac.org/pictograms/6542/6542_500.png,verb|physical exercise,communication|language|verb|leisure|sport|physical exercise
